Brand,Processor,RAM (GB),Storage (GB),Camera (MP),Battery (mAh),Display Size (inches),Refresh Rate (Hz),5G Support,Operating System,Launch Year,Price ($)
Vivo,Kirin 9000,16,128,64,4000,5.5,90,0,Android,2024,715
Motorola,Dimensity 9200,12,1024,64,4500,5.5,144,1,Android,2024,1022
Apple,Exynos 2200,16,512,64,4500,6.7,90,1,iOS,2020,553
Apple,Kirin 9000,16,256,200,4000,6.4,90,0,iOS,2019,448
OnePlus,Snapdragon 8 Gen 2,16,512,48,6000,5.5,144,0,Android,2020,472
Samsung,Snapdragon 8 Gen 2,8,256,12,5000,5.5,120,1,Android,2024,783
Apple,Snapdragon 8 Gen 2,6,64,200,3000,5.5,144,1,iOS,2019,333
Motorola,Kirin 9000,16,256,12,4500,7.0,120,0,Android,2022,681
Realme,Kirin 9000,16,1024,108,4500,6.7,90,0,Android,2024,998
Sony,A17 Bionic,8,64,64,4500,7.0,120,1,Android,2024,848
Sony,Dimensity 9200,8,128,12,4500,6.1,90,1,Android,2023,718
Motorola,A17 Bionic,4,256,200,4000,7.0,120,1,Android,2022,729
Sony,A17 Bionic,6,128,64,6000,6.4,90,1,Android,2018,308
Samsung,Exynos 2200,6,1024,48,5000,6.1,120,0,Android,2024,901
Sony,Snapdragon 8 Gen 2,8,256,108,4000,6.1,120,0,Android,2021,453
Sony,Snapdragon 8 Gen 2,4,1024,48,3000,6.7,144,1,Android,2021,395
Motorola,Snapdragon 8 Gen 2,16,128,200,6000,6.1,144,0,Android,2021,639
Samsung,Snapdragon 778G,8,256,108,3000,7.0,120,1,Android,2018,250
Realme,Dimensity 9200,4,64,48,6000,6.7,60,1,Android,2018,245
Motorola,Dimensity 9200,16,128,108,4500,6.1,60,1,Android,2018,256
Xiaomi,Kirin 9000,8,64,48,4500,6.1,60,0,Android,2023,726
Vivo,Exynos 2200,6,256,48,3000,6.1,60,1,Android,2024,640
Apple,Snapdragon 778G,12,256,12,4000,6.7,90,0,iOS,2023,992
OnePlus,Kirin 9000,16,1024,108,4000,6.4,144,0,Android,2019,282
Vivo,Snapdragon 778G,8,1024,200,4000,5.5,144,0,Android,2022,725
Realme,Kirin 9000,16,256,108,4000,7.0,60,1,Android,2019,231
Realme,Kirin 9000,4,64,108,6000,6.4,144,0,Android,2022,780
Apple,Snapdragon 8 Gen 2,6,64,12,3000,6.1,144,1,iOS,2021,611
Xiaomi,Kirin 9000,4,1024,12,4000,6.1,60,0,Android,2022,674
Sony,Snapdragon 8 Gen 2,16,256,48,4000,6.4,120,0,Android,2023,828
Xiaomi,Snapdragon 778G,12,1024,64,5000,6.7,60,1,Android,2024,1069
Oppo,Exynos 2200,4,64,108,5000,6.7,90,1,Android,2018,272
Realme,Snapdragon 778G,12,512,12,3000,6.7,144,0,Android,2018,236
Sony,A17 Bionic,8,128,64,4000,6.4,144,0,Android,2020,341
OnePlus,Kirin 9000,6,64,64,4500,5.5,90,0,Android,2024,729
Vivo,Exynos 2200,12,128,200,4000,5.5,120,1,Android,2024,878
OnePlus,Dimensity 9200,6,256,64,4000,6.7,90,0,Android,2020,317
Google,Snapdragon 8 Gen 2,12,64,64,6000,6.4,144,0,Android,2018,300
Realme,Snapdragon 778G,12,1024,12,4500,6.1,90,0,Android,2022,705
Realme,A17 Bionic,4,512,48,3000,6.1,90,0,Android,2023,601
OnePlus,Snapdragon 778G,16,256,12,6000,6.1,60,0,Android,2021,562
Realme,Snapdragon 778G,8,64,48,3000,6.4,90,1,Android,2020,276
Vivo,Dimensity 9200,4,1024,200,3000,5.5,144,0,Android,2019,274
Apple,Snapdragon 778G,16,1024,48,5000,6.7,144,0,iOS,2023,1540
OnePlus,Kirin 9000,12,512,64,5000,5.5,90,0,Android,2024,846
OnePlus,Snapdragon 778G,4,1024,64,4500,7.0,90,1,Android,2018,268
Vivo,Kirin 9000,8,512,48,4500,7.0,144,1,Android,2023,778
Google,Snapdragon 8 Gen 2,12,64,64,6000,5.5,90,1,Android,2024,998
Vivo,Kirin 9000,12,128,200,4000,6.1,144,0,Android,2020,385
Vivo,Dimensity 9200,12,512,64,5000,6.7,60,0,Android,2023,842
Sony,Snapdragon 778G,8,512,64,4000,6.4,144,1,Android,2019,273
Motorola,Exynos 2200,16,1024,64,3000,5.5,90,0,Android,2023,746
Apple,Dimensity 9200,4,512,64,6000,6.7,120,1,iOS,2022,1134
Sony,A17 Bionic,16,64,12,4500,5.5,144,0,Android,2024,888
OnePlus,Snapdragon 778G,12,256,48,4000,5.5,120,1,Android,2020,362
Xiaomi,Snapdragon 778G,6,128,64,5000,6.7,120,1,Android,2023,849
OnePlus,Dimensity 9200,8,256,12,4500,6.4,90,0,Android,2019,215
Sony,Snapdragon 8 Gen 2,4,256,200,5000,7.0,90,0,Android,2024,844
Motorola,Snapdragon 8 Gen 2,8,256,108,6000,6.7,60,1,Android,2022,814
Samsung,Dimensity 9200,4,1024,108,4000,6.1,90,0,Android,2018,290
Realme,Dimensity 9200,8,256,12,3000,6.1,120,1,Android,2020,271
Oppo,Snapdragon 8 Gen 2,16,256,108,6000,6.4,120,0,Android,2019,321
Realme,Exynos 2200,4,1024,48,5000,5.5,90,1,Android,2018,282
Sony,Kirin 9000,6,256,48,4000,7.0,60,1,Android,2022,554
Motorola,A17 Bionic,6,128,108,4500,7.0,144,1,Android,2022,751
OnePlus,Exynos 2200,16,128,48,4500,7.0,60,1,Android,2018,284
Apple,Kirin 9000,6,128,200,4000,6.7,90,0,iOS,2024,1162
Samsung,Snapdragon 8 Gen 2,6,64,48,4000,6.4,90,1,Android,2018,244
Realme,Snapdragon 8 Gen 2,4,64,200,4000,5.5,120,1,Android,2018,269
Apple,Snapdragon 8 Gen 2,6,64,108,5000,5.5,144,0,iOS,2023,1174
OnePlus,Snapdragon 778G,16,128,64,6000,6.7,60,1,Android,2024,1058
Motorola,Kirin 9000,16,256,108,5000,7.0,120,1,Android,2022,726
Apple,Dimensity 9200,6,128,200,6000,6.1,90,1,iOS,2023,1542
Realme,Exynos 2200,16,64,64,3000,6.7,90,0,Android,2020,270
Motorola,Snapdragon 778G,16,64,48,5000,6.7,144,1,Android,2023,884
Xiaomi,Snapdragon 778G,8,64,200,3000,6.1,144,1,Android,2020,304
Samsung,Dimensity 9200,8,512,12,3000,6.7,90,1,Android,2023,688
Apple,Snapdragon 778G,6,256,108,6000,6.4,90,0,iOS,2023,1342
Xiaomi,Kirin 9000,12,1024,64,6000,5.5,144,0,Android,2018,361
Samsung,Kirin 9000,16,1024,108,4500,5.5,120,1,Android,2018,351
Oppo,Snapdragon 778G,8,1024,64,5000,5.5,144,1,Android,2018,331
Oppo,Kirin 9000,4,256,48,6000,5.5,144,0,Android,2021,466
OnePlus,Dimensity 9200,4,64,200,3000,5.5,60,0,Android,2019,184
Apple,Dimensity 9200,12,1024,64,4500,6.4,120,1,iOS,2019,427
Xiaomi,Snapdragon 8 Gen 2,6,128,48,5000,6.4,144,0,Android,2018,233
Google,Snapdragon 778G,16,512,108,4000,5.5,144,1,Android,2023,880
Oppo,A17 Bionic,4,256,108,6000,6.7,90,0,Android,2023,938
Samsung,Snapdragon 778G,16,256,64,4000,7.0,120,1,Android,2020,391
OnePlus,Exynos 2200,12,256,48,5000,7.0,60,1,Android,2023,835
Samsung,Exynos 2200,8,256,48,4500,6.7,120,0,Android,2018,274
Vivo,Snapdragon 8 Gen 2,4,64,48,5000,6.1,60,0,Android,2018,245
Xiaomi,Kirin 9000,4,64,64,3000,5.5,144,0,Android,2019,190
Google,Exynos 2200,12,512,200,6000,7.0,90,1,Android,2018,356
Realme,Snapdragon 778G,6,1024,48,3000,5.5,60,1,Android,2024,681
Samsung,Exynos 2200,4,64,108,5000,7.0,144,1,Android,2018,290
Google,A17 Bionic,6,1024,108,6000,6.4,144,1,Android,2021,592
Apple,Dimensity 9200,4,1024,108,6000,7.0,120,1,iOS,2020,763
Motorola,Snapdragon 778G,16,128,64,5000,7.0,60,1,Android,2020,381
Xiaomi,A17 Bionic,6,64,108,5000,5.5,144,1,Android,2023,891
OnePlus,A17 Bionic,8,1024,64,4500,6.1,120,0,Android,2021,554
Oppo,Kirin 9000,6,512,48,4000,6.7,90,0,Android,2018,238
Google,Kirin 9000,12,64,64,3000,6.4,60,1,Android,2023,576
Oppo,Snapdragon 778G,12,128,200,4000,6.4,90,1,Android,2023,800
Google,Exynos 2200,16,64,108,3000,6.1,144,0,Android,2024,730
Xiaomi,Exynos 2200,16,512,12,4500,6.1,60,1,Android,2022,771
Vivo,Snapdragon 778G,4,256,200,4500,7.0,144,1,Android,2019,283
Google,Kirin 9000,8,256,48,3000,6.4,120,0,Android,2019,189
Samsung,Dimensity 9200,12,512,108,3000,6.1,90,1,Android,2021,439
Realme,Kirin 9000,8,1024,64,3000,7.0,120,1,Android,2018,239
Motorola,A17 Bionic,16,128,12,4500,6.4,60,0,Android,2019,238
Xiaomi,Snapdragon 8 Gen 2,4,1024,200,5000,6.1,144,1,Android,2018,328
Apple,A17 Bionic,16,128,200,5000,6.4,144,0,iOS,2023,1381
Realme,A17 Bionic,4,1024,12,3000,6.4,90,1,Android,2021,389
Oppo,Dimensity 9200,8,64,12,6000,5.5,144,1,Android,2024,972
Google,Snapdragon 778G,4,128,64,3000,6.1,120,0,Android,2019,210
Xiaomi,Kirin 9000,16,256,64,4000,6.4,144,0,Android,2024,812
Motorola,Exynos 2200,8,512,48,4500,6.1,144,1,Android,2022,708
Oppo,Dimensity 9200,6,256,200,3000,7.0,90,1,Android,2019,231
Google,Dimensity 9200,16,512,64,4500,6.7,60,1,Android,2020,418
Apple,Kirin 9000,12,128,64,6000,7.0,60,1,iOS,2019,408
Google,A17 Bionic,12,256,200,3000,6.4,60,0,Android,2020,345
Google,Snapdragon 778G,4,256,108,6000,5.5,60,0,Android,2020,357
OnePlus,Kirin 9000,6,64,12,6000,5.5,90,0,Android,2019,278
Xiaomi,Kirin 9000,16,512,48,5000,7.0,120,1,Android,2019,294
Realme,Snapdragon 778G,8,1024,200,5000,5.5,60,1,Android,2020,434
Xiaomi,Exynos 2200,8,512,64,5000,7.0,60,0,Android,2020,398
Oppo,Exynos 2200,8,512,200,4500,6.7,120,0,Android,2024,916
Motorola,Exynos 2200,16,64,12,6000,6.4,144,0,Android,2021,579
Realme,Snapdragon 8 Gen 2,6,1024,64,4500,7.0,120,1,Android,2023,861
Samsung,Kirin 9000,6,128,64,5000,7.0,90,1,Android,2018,237
Google,Snapdragon 8 Gen 2,16,256,64,4000,6.1,120,1,Android,2019,264
Motorola,Exynos 2200,4,1024,108,3000,5.5,90,0,Android,2019,248
Apple,Snapdragon 8 Gen 2,16,128,48,4000,6.4,144,0,iOS,2022,934
Motorola,Snapdragon 778G,6,1024,48,4000,6.7,120,1,Android,2018,250
Sony,A17 Bionic,16,128,48,6000,6.1,90,0,Android,2021,493
Oppo,Kirin 9000,12,256,64,3000,7.0,90,0,Android,2022,532
Xiaomi,Snapdragon 8 Gen 2,16,512,200,5000,6.4,60,1,Android,2023,988
Vivo,Kirin 9000,8,64,48,4000,6.4,120,1,Android,2019,247
Realme,A17 Bionic,4,256,108,4000,6.7,60,1,Android,2019,222
Google,Snapdragon 8 Gen 2,6,256,200,5000,5.5,144,1,Android,2023,986
Oppo,Snapdragon 778G,4,1024,64,4000,6.7,60,1,Android,2019,246
Oppo,A17 Bionic,6,1024,200,4500,6.1,60,0,Android,2018,307
Oppo,Dimensity 9200,4,1024,48,6000,6.7,120,1,Android,2019,344
Motorola,Exynos 2200,4,64,12,5000,6.1,120,0,Android,2021,443
Samsung,Snapdragon 8 Gen 2,16,512,108,3000,6.7,120,1,Android,2024,811
Samsung,Dimensity 9200,4,1024,12,6000,6.7,120,1,Android,2024,1089
Motorola,A17 Bionic,4,128,48,4500,6.7,90,1,Android,2023,789
Samsung,Exynos 2200,6,256,48,4500,7.0,60,1,Android,2019,258
Vivo,Dimensity 9200,6,128,200,3000,6.4,144,1,Android,2019,249
Google,Kirin 9000,8,64,64,4500,6.7,144,1,Android,2018,262
Xiaomi,Snapdragon 778G,4,1024,12,4000,6.1,60,0,Android,2018,254
Oppo,Kirin 9000,4,512,48,3000,7.0,60,1,Android,2021,347
Realme,Kirin 9000,16,1024,200,3000,5.5,144,1,Android,2020,389
Motorola,Exynos 2200,4,128,48,3000,6.1,144,1,Android,2020,311
OnePlus,Exynos 2200,8,64,12,5000,6.7,144,1,Android,2024,815
Xiaomi,Kirin 9000,6,1024,12,4500,6.1,60,0,Android,2024,770
Realme,Dimensity 9200,6,1024,108,4000,6.7,90,1,Android,2023,877
OnePlus,Snapdragon 8 Gen 2,4,256,48,4500,6.7,60,0,Android,2018,238
Google,A17 Bionic,8,128,108,5000,6.1,90,0,Android,2021,459
OnePlus,A17 Bionic,4,128,64,4000,6.1,120,0,Android,2019,193
Motorola,Snapdragon 8 Gen 2,8,128,48,4000,7.0,144,1,Android,2019,235
Motorola,Snapdragon 8 Gen 2,4,128,48,4500,6.1,144,0,Android,2019,255
Oppo,Kirin 9000,8,1024,108,6000,6.4,144,0,Android,2024,1142
Samsung,Kirin 9000,6,256,200,4500,6.7,120,1,Android,2022,778
Oppo,Snapdragon 778G,6,512,64,6000,5.5,120,0,Android,2019,309
Sony,Snapdragon 778G,8,1024,64,5000,6.4,60,0,Android,2023,819
Realme,Exynos 2200,6,512,108,4000,6.7,120,1,Android,2024,808
Samsung,Exynos 2200,8,256,48,6000,6.7,120,0,Android,2024,1001
Vivo,Kirin 9000,6,128,108,6000,7.0,90,0,Android,2019,285
Google,Snapdragon 778G,8,512,12,4500,6.4,90,1,Android,2020,324
Xiaomi,Snapdragon 8 Gen 2,4,128,12,6000,6.7,90,0,Android,2019,257
Xiaomi,Kirin 9000,8,1024,12,3000,5.5,144,1,Android,2020,376
OnePlus,Snapdragon 8 Gen 2,16,512,48,3000,7.0,144,1,Android,2021,449
Xiaomi,Kirin 9000,8,1024,64,3000,6.1,60,1,Android,2020,320
Oppo,Snapdragon 778G,6,128,108,4000,6.1,60,0,Android,2019,217
Xiaomi,A17 Bionic,4,512,200,4000,7.0,144,1,Android,2018,272
Samsung,Dimensity 9200,8,128,108,4000,6.1,60,1,Android,2021,462
OnePlus,Kirin 9000,8,1024,64,3000,6.7,120,1,Android,2023,687
Oppo,Snapdragon 8 Gen 2,6,512,48,6000,5.5,120,0,Android,2022,779
Sony,Snapdragon 8 Gen 2,4,256,108,5000,6.4,60,1,Android,2020,373
Sony,Exynos 2200,12,256,12,4500,6.4,120,0,Android,2021,462
Realme,A17 Bionic,16,512,48,4000,7.0,90,1,Android,2020,375
Realme,A17 Bionic,12,512,108,4500,7.0,90,0,Android,2022,786
Realme,Snapdragon 778G,12,64,64,6000,6.7,144,1,Android,2024,913
Realme,Snapdragon 8 Gen 2,8,128,108,3000,6.1,144,1,Android,2018,202
Apple,A17 Bionic,8,512,48,4000,7.0,60,1,iOS,2022,917
Sony,Exynos 2200,16,128,108,4000,6.7,90,0,Android,2022,616
OnePlus,Snapdragon 8 Gen 2,12,64,64,5000,7.0,60,1,Android,2018,283
Realme,Snapdragon 778G,4,512,48,6000,6.4,90,1,Android,2020,391
OnePlus,Exynos 2200,12,128,12,3000,7.0,60,1,Android,2023,551
Samsung,Snapdragon 778G,16,256,64,6000,6.7,90,0,Android,2019,293
