Brand,Processor,RAM (GB),Storage (GB),Camera (MP),Battery (mAh),Display Size (inches),Refresh Rate (Hz),5G Support,Operating System,Launch Year,Price ($)
Realme,Snapdragon 8 Gen 2,12,1024,48,6000,6.1,144,1,Android,2023,1693.0
OnePlus,Exynos 2200,16,512,12,6000,7.0,90,1,Android,2020,1308.0
Google,Kirin 9000,16,1024,12,3000,6.4,60,1,Android,2019,1093.6
Google,A17 Bionic,8,256,108,6000,6.4,120,1,Android,2021,1278.0
Apple,Snapdragon 778G,16,128,64,5000,6.7,60,0,iOS,2018,1608.6
OnePlus,A17 Bionic,16,128,200,6000,5.5,60,0,Android,2020,1303.6
Oppo,Snapdragon 8 Gen 2,12,256,64,5000,6.7,60,0,Android,2020,973.2
Motorola,Kirin 9000,6,512,200,3000,6.4,60,0,Android,2020,972.8
Samsung,Dimensity 9200,6,64,48,5000,6.1,60,0,Android,2022,1307.0
Apple,Exynos 2200,16,1024,64,4000,6.1,120,1,iOS,2021,1725.6
Realme,A17 Bionic,16,1024,200,4000,7.0,60,0,Android,2020,1160.8
Motorola,Snapdragon 778G,16,128,108,4500,6.1,144,0,Android,2020,1186.8
Google,Snapdragon 778G,6,512,48,6000,6.1,144,0,Android,2023,1631.5
Google,Snapdragon 8 Gen 2,16,1024,48,4000,7.0,60,0,Android,2019,1184.8
Google,Dimensity 9200,8,1024,64,5000,7.0,90,1,Android,2023,1419.0
Vivo,Exynos 2200,4,64,64,3000,5.5,60,0,Android,2018,722.8
Samsung,Dimensity 9200,6,128,200,6000,5.5,144,0,Android,2024,1514.5
Google,A17 Bionic,12,256,64,6000,6.1,90,0,Android,2020,1136.8
Vivo,Dimensity 9200,6,64,48,3000,6.1,120,0,Android,2020,755.2
Vivo,Kirin 9000,16,128,12,3000,7.0,144,0,Android,2018,891.2
Realme,Snapdragon 8 Gen 2,4,128,200,4000,6.4,90,0,Android,2023,1276.0
Vivo,Dimensity 9200,6,128,200,4500,7.0,90,0,Android,2023,1393.0
OnePlus,Snapdragon 8 Gen 2,8,512,108,4500,6.7,60,0,Android,2018,943.6
Xiaomi,Dimensity 9200,16,512,48,6000,7.0,120,0,Android,2020,1170.0
OnePlus,A17 Bionic,6,64,12,4000,7.0,120,0,Android,2023,920.5
Realme,Snapdragon 8 Gen 2,16,512,200,3000,6.1,90,1,Android,2020,1006.4
Xiaomi,Kirin 9000,4,256,48,6000,5.5,120,1,Android,2023,1344.0
Google,Snapdragon 8 Gen 2,12,512,12,6000,6.4,60,1,Android,2024,1559.5
Samsung,Snapdragon 778G,6,512,64,4000,7.0,90,0,Android,2018,911.2
Sony,Snapdragon 8 Gen 2,8,1024,48,6000,6.7,90,1,Android,2023,1726.5
Realme,Snapdragon 778G,8,512,200,3000,6.1,120,0,Android,2021,973.6
Xiaomi,Snapdragon 8 Gen 2,4,128,200,4000,7.0,144,0,Android,2021,1069.6
Oppo,Dimensity 9200,16,512,12,4500,6.7,144,1,Android,2022,1422.0
Google,A17 Bionic,4,1024,12,4000,7.0,60,1,Android,2022,1215.0
Sony,Kirin 9000,12,64,64,6000,7.0,60,1,Android,2022,1446.5
Xiaomi,A17 Bionic,12,128,48,6000,7.0,144,1,Android,2018,1333.2
Apple,Kirin 9000,12,512,48,4500,6.4,120,0,iOS,2020,1606.8
Samsung,Dimensity 9200,4,64,200,6000,6.4,90,0,Android,2022,1551.0
Oppo,A17 Bionic,8,512,108,6000,6.1,144,1,Android,2023,1711.5
Xiaomi,Exynos 2200,8,64,64,4500,6.7,90,0,Android,2020,883.6
Oppo,Kirin 9000,12,64,108,4500,5.5,60,0,Android,2021,1057.2
Xiaomi,Kirin 9000,16,64,48,4000,6.4,120,1,Android,2020,973.6
Apple,Kirin 9000,4,1024,48,5000,5.5,60,1,iOS,2024,2172.0
Sony,Exynos 2200,8,256,108,4500,5.5,120,0,Android,2024,1309.5
Sony,A17 Bionic,16,1024,64,3000,6.7,60,1,Android,2022,1158.5
Realme,Snapdragon 8 Gen 2,4,64,200,3000,6.4,90,1,Android,2023,1152.5
Xiaomi,Dimensity 9200,4,512,108,4000,6.1,120,0,Android,2023,1358.0
Xiaomi,Dimensity 9200,12,512,12,4500,6.7,90,0,Android,2022,1155.5
Apple,Dimensity 9200,16,128,108,4000,6.1,60,1,iOS,2023,1776.0
Apple,Kirin 9000,12,64,200,4000,6.7,60,0,iOS,2020,1355.4
Motorola,Kirin 9000,8,1024,64,3000,6.1,60,1,Android,2024,1109.0
Oppo,Kirin 9000,4,128,108,4500,6.1,120,1,Android,2018,950.8
Sony,Snapdragon 8 Gen 2,12,256,64,6000,5.5,144,0,Android,2018,1155.2
Xiaomi,Dimensity 9200,6,512,48,5000,6.1,60,1,Android,2024,1287.5
Google,Snapdragon 8 Gen 2,12,128,108,6000,6.7,90,0,Android,2022,1366.5
OnePlus,A17 Bionic,6,256,48,4000,6.4,120,1,Android,2018,1060.0
OnePlus,Snapdragon 8 Gen 2,16,1024,200,4000,6.1,144,1,Android,2020,1248.8
Vivo,Snapdragon 778G,16,256,64,6000,6.4,120,1,Android,2023,1710.0
Sony,Snapdragon 778G,12,128,12,4500,6.4,90,1,Android,2018,998.4
Xiaomi,A17 Bionic,16,128,200,4500,6.7,120,1,Android,2023,1519.0
Vivo,Snapdragon 778G,6,128,108,4000,7.0,144,0,Android,2020,1019.2
Motorola,Snapdragon 8 Gen 2,16,1024,12,3000,7.0,120,1,Android,2022,1149.0
Motorola,Exynos 2200,16,64,108,5000,7.0,120,0,Android,2023,1419.5
Motorola,Snapdragon 8 Gen 2,12,1024,12,3000,7.0,120,0,Android,2024,1180.0
Realme,Kirin 9000,12,512,12,4000,6.7,60,1,Android,2018,1060.4
Oppo,Snapdragon 8 Gen 2,8,1024,200,6000,5.5,144,0,Android,2021,1443.2
Samsung,Exynos 2200,12,64,48,4000,6.4,120,0,Android,2022,1042.5
OnePlus,Snapdragon 778G,6,1024,200,6000,6.4,90,0,Android,2018,1342.8
Motorola,Snapdragon 778G,8,512,108,4500,7.0,120,1,Android,2024,1414.5
Realme,Kirin 9000,12,512,108,6000,7.0,144,0,Android,2021,1208.4
Realme,Dimensity 9200,16,64,64,5000,7.0,120,0,Android,2023,1378.5
Samsung,Exynos 2200,4,512,64,5000,7.0,90,1,Android,2024,1388.5
Samsung,Dimensity 9200,8,128,64,5000,6.7,120,0,Android,2018,1118.4
Vivo,A17 Bionic,16,1024,108,6000,6.4,144,0,Android,2022,1953.0
Realme,A17 Bionic,8,128,200,3000,5.5,90,1,Android,2023,1035.5
Sony,Snapdragon 778G,6,1024,200,6000,6.1,120,0,Android,2022,1811.5
Apple,Dimensity 9200,6,512,108,4000,5.5,60,1,iOS,2022,1868.25
Xiaomi,Kirin 9000,4,64,64,5000,5.5,90,0,Android,2020,927.6
Sony,Dimensity 9200,8,64,12,3000,6.1,60,1,Android,2019,616.8
Realme,Snapdragon 778G,16,512,108,5000,6.7,90,0,Android,2018,1224.4
Xiaomi,Exynos 2200,4,512,64,3000,6.4,60,0,Android,2021,876.4
Apple,A17 Bionic,4,512,200,4500,7.0,120,1,iOS,2022,2285.25
Sony,Kirin 9000,12,512,12,5000,6.4,60,1,Android,2020,1071.2
Sony,Snapdragon 8 Gen 2,6,512,108,3000,7.0,120,0,Android,2020,1001.2
Motorola,Snapdragon 778G,16,128,200,4000,5.5,60,0,Android,2023,1388.0
Motorola,Snapdragon 8 Gen 2,12,256,108,3000,6.7,60,0,Android,2018,924.8
Apple,Dimensity 9200,16,64,12,3000,6.7,144,0,iOS,2023,1621.5
Vivo,Dimensity 9200,8,128,108,5000,6.1,90,0,Android,2020,1021.6
Motorola,Snapdragon 8 Gen 2,8,64,12,3000,7.0,60,1,Android,2024,894.5
OnePlus,Dimensity 9200,12,64,64,4500,6.7,144,0,Android,2018,1103.6
OnePlus,Snapdragon 778G,12,64,12,4000,7.0,144,1,Android,2024,1117.0
Google,A17 Bionic,16,128,48,4500,6.7,120,1,Android,2019,981.6
Motorola,Snapdragon 8 Gen 2,16,64,48,4500,5.5,144,0,Android,2023,1237.5
Samsung,Kirin 9000,8,256,48,4000,6.7,60,1,Android,2022,1082.0
Apple,A17 Bionic,16,64,48,3000,6.7,144,1,iOS,2021,1167.6
Apple,A17 Bionic,4,256,12,5000,6.7,120,0,iOS,2020,1438.8
Google,Kirin 9000,16,128,200,4000,7.0,144,0,Android,2019,1092.4
Xiaomi,A17 Bionic,6,64,200,3000,6.4,144,0,Android,2019,831.6
Realme,Snapdragon 778G,12,512,64,3000,5.5,90,0,Android,2019,793.2
Motorola,Dimensity 9200,4,128,48,4000,7.0,90,0,Android,2018,804.4
Motorola,Snapdragon 8 Gen 2,4,128,200,3000,7.0,60,1,Android,2023,1099.0
Vivo,Kirin 9000,6,64,12,6000,5.5,120,1,Android,2018,1169.2
Xiaomi,Kirin 9000,4,64,48,6000,6.1,144,1,Android,2023,1328.0
Xiaomi,Snapdragon 8 Gen 2,8,256,64,3000,6.7,60,1,Android,2018,821.6
Realme,Exynos 2200,12,512,108,5000,7.0,90,1,Android,2018,1296.8
Samsung,Kirin 9000,12,256,48,3000,6.7,60,0,Android,2023,957.0
Google,A17 Bionic,12,64,12,4000,6.7,90,1,Android,2024,1288.0
Sony,Exynos 2200,6,128,64,3000,5.5,90,0,Android,2018,796.0
Sony,A17 Bionic,8,512,12,4500,6.1,120,1,Android,2019,1123.6
Vivo,Kirin 9000,16,128,64,4000,5.5,90,0,Android,2024,1101.0
Motorola,Dimensity 9200,12,1024,64,4500,5.5,144,1,Android,2024,1573.0
Apple,Exynos 2200,16,512,64,4500,6.7,90,1,iOS,2020,1581.0
Apple,Kirin 9000,16,256,200,4000,6.4,90,0,iOS,2019,1795.8
OnePlus,Snapdragon 8 Gen 2,16,512,48,6000,5.5,144,0,Android,2020,1349.6
Samsung,Snapdragon 8 Gen 2,8,256,12,5000,5.5,120,1,Android,2024,1205.5
Apple,Snapdragon 8 Gen 2,6,64,200,3000,5.5,144,1,iOS,2019,1333.2
Motorola,Kirin 9000,16,256,12,4500,7.0,120,0,Android,2022,1310.5
Realme,Kirin 9000,16,1024,108,4500,6.7,90,0,Android,2024,1536.5
Sony,A17 Bionic,8,64,64,4500,7.0,120,1,Android,2024,1306.0
Sony,Dimensity 9200,8,128,12,4500,6.1,90,1,Android,2023,1198.0
Motorola,A17 Bionic,4,256,200,4000,7.0,120,1,Android,2022,1403.5
Sony,A17 Bionic,6,128,64,6000,6.4,90,1,Android,2018,1232.0
Samsung,Exynos 2200,6,1024,48,5000,6.1,120,0,Android,2024,1386.5
Sony,Snapdragon 8 Gen 2,8,256,108,4000,6.1,120,0,Android,2021,1007.6
Sony,Snapdragon 8 Gen 2,4,1024,48,3000,6.7,144,1,Android,2021,879.2
Motorola,Snapdragon 8 Gen 2,16,128,200,6000,6.1,144,0,Android,2021,1422.0
Samsung,Snapdragon 778G,8,256,108,3000,7.0,120,1,Android,2018,1001.6
Realme,Dimensity 9200,4,64,48,6000,6.7,60,1,Android,2018,983.2
Motorola,Dimensity 9200,16,128,108,4500,6.1,60,1,Android,2018,1024.0
Xiaomi,Kirin 9000,8,64,48,4500,6.1,60,0,Android,2023,1210.5
Vivo,Exynos 2200,6,256,48,3000,6.1,60,1,Android,2024,986.0
Apple,Snapdragon 778G,12,256,12,4000,6.7,90,0,iOS,2023,1653.75
OnePlus,Kirin 9000,16,1024,108,4000,6.4,144,0,Android,2019,1130.0
Vivo,Snapdragon 778G,8,1024,200,4000,5.5,144,0,Android,2022,1396.0
Realme,Kirin 9000,16,256,108,4000,7.0,60,1,Android,2019,925.6
Realme,Kirin 9000,4,64,108,6000,6.4,144,0,Android,2022,1500.0
Apple,Snapdragon 8 Gen 2,6,64,12,3000,6.1,144,1,iOS,2021,1357.8
Xiaomi,Kirin 9000,4,1024,12,4000,6.1,60,0,Android,2022,1297.0
Sony,Snapdragon 8 Gen 2,16,256,48,4000,6.4,120,0,Android,2023,1380.0
Xiaomi,Snapdragon 778G,12,1024,64,5000,6.7,60,1,Android,2024,1646.0
Oppo,Exynos 2200,4,64,108,5000,6.7,90,1,Android,2018,1090.0
Realme,Snapdragon 778G,12,512,12,3000,6.7,144,0,Android,2018,944.4
Sony,A17 Bionic,8,128,64,4000,6.4,144,0,Android,2020,974.4
OnePlus,Kirin 9000,6,64,64,4500,5.5,90,0,Android,2024,1122.5
Vivo,Exynos 2200,12,128,200,4000,5.5,120,1,Android,2024,1351.0
OnePlus,Dimensity 9200,6,256,64,4000,6.7,90,0,Android,2020,906.0
Google,Snapdragon 8 Gen 2,12,64,64,6000,6.4,144,0,Android,2018,1201.6
Realme,Snapdragon 778G,12,1024,12,4500,6.1,90,0,Android,2022,1356.0
Realme,A17 Bionic,4,512,48,3000,6.1,90,0,Android,2023,1002.5
OnePlus,Snapdragon 778G,16,256,12,6000,6.1,60,0,Android,2021,1250.0
Realme,Snapdragon 778G,8,64,48,3000,6.4,90,1,Android,2020,790.8
Vivo,Dimensity 9200,4,1024,200,3000,5.5,144,0,Android,2019,1096.4
Apple,Snapdragon 778G,16,1024,48,5000,6.7,144,0,iOS,2023,2567.25
OnePlus,Kirin 9000,12,512,64,5000,5.5,90,0,Android,2024,1303.0
OnePlus,Snapdragon 778G,4,1024,64,4500,7.0,90,1,Android,2018,1073.6
Vivo,Kirin 9000,8,512,48,4500,7.0,144,1,Android,2023,1297.5
Google,Snapdragon 8 Gen 2,12,64,64,6000,5.5,90,1,Android,2024,1536.5
Vivo,Kirin 9000,12,128,200,4000,6.1,144,0,Android,2020,1100.8
Vivo,Dimensity 9200,12,512,64,5000,6.7,60,0,Android,2023,1403.5
Sony,Snapdragon 778G,8,512,64,4000,6.4,144,1,Android,2019,1094.4
Motorola,Exynos 2200,16,1024,64,3000,5.5,90,0,Android,2023,1243.5
Apple,Dimensity 9200,4,512,64,6000,6.7,120,1,iOS,2022,2181.0
Sony,A17 Bionic,16,64,12,4500,5.5,144,0,Android,2024,1366.5
OnePlus,Snapdragon 778G,12,256,48,4000,5.5,120,1,Android,2020,1034.8
Xiaomi,Snapdragon 778G,6,128,64,5000,6.7,120,1,Android,2023,1415.0
OnePlus,Dimensity 9200,8,256,12,4500,6.4,90,0,Android,2019,860.4
Sony,Snapdragon 8 Gen 2,4,256,200,5000,7.0,90,0,Android,2024,1298.5
Motorola,Snapdragon 8 Gen 2,8,256,108,6000,6.7,60,1,Android,2022,1566.5
Samsung,Dimensity 9200,4,1024,108,4000,6.1,90,0,Android,2018,1161.6
Realme,Dimensity 9200,8,256,12,3000,6.1,120,1,Android,2020,774.4
Oppo,Snapdragon 8 Gen 2,16,256,108,6000,6.4,120,0,Android,2019,1287.6
Realme,Exynos 2200,4,1024,48,5000,5.5,90,1,Android,2018,1131.6
Sony,Kirin 9000,6,256,48,4000,7.0,60,1,Android,2022,1066.0
Motorola,A17 Bionic,6,128,108,4500,7.0,144,1,Android,2022,1445.5
OnePlus,Exynos 2200,16,128,48,4500,7.0,60,1,Android,2018,1138.0
Apple,Kirin 9000,6,128,200,4000,6.7,90,0,iOS,2024,1788.75
Samsung,Snapdragon 8 Gen 2,6,64,48,4000,6.4,90,1,Android,2018,976.4
Realme,Snapdragon 8 Gen 2,4,64,200,4000,5.5,120,1,Android,2018,1078.8
Apple,Snapdragon 8 Gen 2,6,64,108,5000,5.5,144,0,iOS,2023,1957.5
OnePlus,Snapdragon 778G,16,128,64,6000,6.7,60,1,Android,2024,1628.0
Motorola,Kirin 9000,16,256,108,5000,7.0,120,1,Android,2022,1397.5
Apple,Dimensity 9200,6,128,200,6000,6.1,90,1,iOS,2023,2571.0
Realme,Exynos 2200,16,64,64,3000,6.7,90,0,Android,2020,771.6
Motorola,Snapdragon 778G,16,64,48,5000,6.7,144,1,Android,2023,1474.5
Xiaomi,Snapdragon 778G,8,64,200,3000,6.1,144,1,Android,2020,870.8
Samsung,Dimensity 9200,8,512,12,3000,6.7,90,1,Android,2023,1147.5
Apple,Snapdragon 778G,6,256,108,6000,6.4,90,0,iOS,2023,2237.25
Xiaomi,Kirin 9000,12,1024,64,6000,5.5,144,0,Android,2018,1446.8
Samsung,Kirin 9000,16,1024,108,4500,5.5,120,1,Android,2018,1404.4
Oppo,Snapdragon 778G,8,1024,64,5000,5.5,144,1,Android,2018,1327.2
Oppo,Kirin 9000,4,256,48,6000,5.5,144,0,Android,2021,1037.2
OnePlus,Dimensity 9200,4,64,200,3000,5.5,60,0,Android,2019,736.8
Apple,Dimensity 9200,12,1024,64,4500,6.4,120,1,iOS,2019,1711.2
Xiaomi,Snapdragon 8 Gen 2,6,128,48,5000,6.4,144,0,Android,2018,934.8
Google,Snapdragon 778G,16,512,108,4000,5.5,144,1,Android,2023,1467.0
Oppo,A17 Bionic,4,256,108,6000,6.7,90,0,Android,2023,1564.0
Samsung,Snapdragon 778G,16,256,64,4000,7.0,120,1,Android,2020,1117.2
OnePlus,Exynos 2200,12,256,48,5000,7.0,60,1,Android,2023,1392.5
Samsung,Exynos 2200,8,256,48,4500,6.7,120,0,Android,2018,1099.2
Vivo,Snapdragon 8 Gen 2,4,64,48,5000,6.1,60,0,Android,2018,980.4
Xiaomi,Kirin 9000,4,64,64,3000,5.5,144,0,Android,2019,760.8
Google,Exynos 2200,12,512,200,6000,7.0,90,1,Android,2018,1425.2
Realme,Snapdragon 778G,6,1024,48,3000,5.5,60,1,Android,2024,1049.0
Samsung,Exynos 2200,4,64,108,5000,7.0,144,1,Android,2018,1160.0
Google,A17 Bionic,6,1024,108,6000,6.4,144,1,Android,2021,1316.0
Apple,Dimensity 9200,4,1024,108,6000,7.0,120,1,iOS,2020,2182.2
Motorola,Snapdragon 778G,16,128,64,5000,7.0,60,1,Android,2020,1089.2
Xiaomi,A17 Bionic,6,64,108,5000,5.5,144,1,Android,2023,1485.0
OnePlus,A17 Bionic,8,1024,64,4500,6.1,120,0,Android,2021,1233.2
Oppo,Kirin 9000,6,512,48,4000,6.7,90,0,Android,2018,954.0
Google,Kirin 9000,12,64,64,3000,6.4,60,1,Android,2023,961.0
Oppo,Snapdragon 778G,12,128,200,4000,6.4,90,1,Android,2023,1334.5
Google,Exynos 2200,16,64,108,3000,6.1,144,0,Android,2024,1124.0
Xiaomi,Exynos 2200,16,512,12,4500,6.1,60,1,Android,2022,1483.0
Vivo,Snapdragon 778G,4,256,200,4500,7.0,144,1,Android,2019,1134.0
Google,Kirin 9000,8,256,48,3000,6.4,120,0,Android,2019,756.0
Samsung,Dimensity 9200,12,512,108,3000,6.1,90,1,Android,2021,977.6
Realme,Kirin 9000,8,1024,64,3000,7.0,120,1,Android,2018,958.8
Motorola,A17 Bionic,16,128,12,4500,6.4,60,0,Android,2019,955.6
Xiaomi,Snapdragon 8 Gen 2,4,1024,200,5000,6.1,144,1,Android,2018,1314.8
Apple,A17 Bionic,16,128,200,5000,6.4,144,0,iOS,2023,2302.5
Realme,A17 Bionic,4,1024,12,3000,6.4,90,1,Android,2021,866.0
Oppo,Dimensity 9200,8,64,12,6000,5.5,144,1,Android,2024,1496.5
Google,Snapdragon 778G,4,128,64,3000,6.1,120,0,Android,2019,842.4
Xiaomi,Kirin 9000,16,256,64,4000,6.4,144,0,Android,2024,1250.0
Motorola,Exynos 2200,8,512,48,4500,6.1,144,1,Android,2022,1363.0
Oppo,Dimensity 9200,6,256,200,3000,7.0,90,1,Android,2019,924.8
Google,Dimensity 9200,16,512,64,4500,6.7,60,1,Android,2020,1194.4
Apple,Kirin 9000,12,128,64,6000,7.0,60,1,iOS,2019,1633.8
Google,A17 Bionic,12,256,200,3000,6.4,60,0,Android,2020,987.2
Google,Snapdragon 778G,4,256,108,6000,5.5,60,0,Android,2020,1020.0
OnePlus,Kirin 9000,6,64,12,6000,5.5,90,0,Android,2019,1114.0
Xiaomi,Kirin 9000,16,512,48,5000,7.0,120,1,Android,2019,1179.6
Realme,Snapdragon 778G,8,1024,200,5000,5.5,60,1,Android,2020,1242.4
Xiaomi,Exynos 2200,8,512,64,5000,7.0,60,0,Android,2020,1138.4
Oppo,Exynos 2200,8,512,200,4500,6.7,120,0,Android,2024,1410.0
Motorola,Exynos 2200,16,64,12,6000,6.4,144,0,Android,2021,1286.8
Realme,Snapdragon 8 Gen 2,6,1024,64,4500,7.0,120,1,Android,2023,1436.5
Samsung,Kirin 9000,6,128,64,5000,7.0,90,1,Android,2018,951.2
Google,Snapdragon 8 Gen 2,16,256,64,4000,6.1,120,1,Android,2019,1056.8
Motorola,Exynos 2200,4,1024,108,3000,5.5,90,0,Android,2019,995.2
Apple,Snapdragon 8 Gen 2,16,128,48,4000,6.4,144,0,iOS,2022,1796.25
Motorola,Snapdragon 778G,6,1024,48,4000,6.7,120,1,Android,2018,1001.6
Sony,A17 Bionic,16,128,48,6000,6.1,90,0,Android,2021,1096.8
Oppo,Kirin 9000,12,256,64,3000,7.0,90,0,Android,2022,1024.0
Xiaomi,Snapdragon 8 Gen 2,16,512,200,5000,6.4,60,1,Android,2023,1647.5
Vivo,Kirin 9000,8,64,48,4000,6.4,120,1,Android,2019,991.6
Realme,A17 Bionic,4,256,108,4000,6.7,60,1,Android,2019,891.6
Google,Snapdragon 8 Gen 2,6,256,200,5000,5.5,144,1,Android,2023,1643.5
Oppo,Snapdragon 778G,4,1024,64,4000,6.7,60,1,Android,2019,986.4
Oppo,A17 Bionic,6,1024,200,4500,6.1,60,0,Android,2018,1230.0
Oppo,Dimensity 9200,4,1024,48,6000,6.7,120,1,Android,2019,1378.8
Motorola,Exynos 2200,4,64,12,5000,6.1,120,0,Android,2021,984.8
Samsung,Snapdragon 8 Gen 2,16,512,108,3000,6.7,120,1,Android,2024,1248.5
Samsung,Dimensity 9200,4,1024,12,6000,6.7,120,1,Android,2024,1676.5
Motorola,A17 Bionic,4,128,48,4500,6.7,90,1,Android,2023,1315.0
Samsung,Exynos 2200,6,256,48,4500,7.0,60,1,Android,2019,1033.6
Vivo,Dimensity 9200,6,128,200,3000,6.4,144,1,Android,2019,998.4
Google,Kirin 9000,8,64,64,4500,6.7,144,1,Android,2018,1048.8
Xiaomi,Snapdragon 778G,4,1024,12,4000,6.1,60,0,Android,2018,1018.0
Oppo,Kirin 9000,4,512,48,3000,7.0,60,1,Android,2021,771.6
Realme,Kirin 9000,16,1024,200,3000,5.5,144,1,Android,2020,1113.2
Motorola,Exynos 2200,4,128,48,3000,6.1,144,1,Android,2020,890.0
OnePlus,Exynos 2200,8,64,12,5000,6.7,144,1,Android,2024,1254.5
Xiaomi,Kirin 9000,6,1024,12,4500,6.1,60,0,Android,2024,1186.0
Realme,Dimensity 9200,6,1024,108,4000,6.7,90,1,Android,2023,1463.0
OnePlus,Snapdragon 8 Gen 2,4,256,48,4500,6.7,60,0,Android,2018,954.4
Google,A17 Bionic,8,128,108,5000,6.1,90,0,Android,2021,1022.0
OnePlus,A17 Bionic,4,128,64,4000,6.1,120,0,Android,2019,772.4
Motorola,Snapdragon 8 Gen 2,8,128,48,4000,7.0,144,1,Android,2019,941.2
Motorola,Snapdragon 8 Gen 2,4,128,48,4500,6.1,144,0,Android,2019,1022.4
Oppo,Kirin 9000,8,1024,108,6000,6.4,144,0,Android,2024,1757.5
Samsung,Kirin 9000,6,256,200,4500,6.7,120,1,Android,2022,1496.5
Oppo,Snapdragon 778G,6,512,64,6000,5.5,120,0,Android,2019,1238.8
Sony,Snapdragon 778G,8,1024,64,5000,6.4,60,0,Android,2023,1365.5
Realme,Exynos 2200,6,512,108,4000,6.7,120,1,Android,2024,1244.5
Samsung,Exynos 2200,8,256,48,6000,6.7,120,0,Android,2024,1540.5
Vivo,Kirin 9000,6,128,108,6000,7.0,90,0,Android,2019,1142.4
